"","x"
"106",0.528565603635549
"107",0.211119652176792
"108",0.117661059294676
"109",0.489314415702559
"110",0.295401029843067
"111",0.211040198730744
"112",0.346250686668704
"113",0.509985575953528
"114",0.219223505632396
"115",0.396262886963976
"116",0.379833623569658
"117",0.245903354656953
"118",0.437813928751266
"119",0.15598926695226
"120",0.527372885046265
"121",0.219723512995629
"122",0.247672374808711
"123",0.384589183938902
"124",0.691122374496433
"125",0.328071490715416
"126",0.499635726144173
"127",0.376088091064493
"128",0.296104921289459
"129",0.112301156209724
"130",0.149327478693295
"131",0.363424611675917
"132",0.24053685839842
"133",0.208189834812461
"134",0.475451651378212
"135",0.514952780760891
"136",0.284158047722322
"137",0.220839757448601
"138",0.178861344574379
"139",0.196652557223093
"140",0.249734291922274
"141",0.395949077352161
"142",0.123099523920263
"143",0.419862032832682
"144",0.15631571788363
"145",0.196476582440136
"146",0.273136366345312
"147",0.311007207030803
"148",0.407982151335065
"149",0.508628423812515
"150",0.442021018290255
"151",0.164623299164931
"152",0.406615125226597
"153",0.197842175198597
"154",0.434999115529462
"155",0.424592690702125
"156",0.429551924455393
"157",0.127785939493211
"158",0.139394249215396
"159",0.589871204348937
"160",0.832014119559742
"161",0.726947793010421
"162",0.467675658371268
"163",0.461591832648378
"164",0.468226218007185
"165",0.403136275302665
"166",0.152341175962901
"167",0.455382778000022
"168",0.310911488113549
"169",0.33618618247907
"170",0.485804713270035
"171",0.345165017776697
"172",0.286823923743652
"173",0.282022888327256
"174",0.110523301271425
"175",0.189874779181026
"176",0.839750178262985
"177",0.152864628341637
"178",0.498279434010844
"179",0.112618748286805
"180",0.195341706901973
"181",0.512040704709816
"182",0.104647301551164
"183",0.109413206324992
"184",0.308434043151221
"185",0.178398124714303
"186",0.423829365467269
"187",0.836468370627814
"188",0.564029993397036
"189",0.769841045385344
"190",0.182921248608427
"191",0.368566993117869
"192",0.197752439182345
"193",0.722110326700613
"194",0.444117896944658
"195",0.119005098736597
"196",0.485089870497305
"197",0.158476402742445
"198",0.754588727931052
"199",0.163190224136736
"200",0.52297864170935
"201",0.469626037779376
"202",0.430615463829289
"203",0.228979955531421
"204",0.346313362793366
"205",0.165680970058634
"206",0.102048540383601
"207",0.23058704362039
"208",0.527377412817413
"209",0.281708807937664
"210",0.457265060686998
"211",0.469825042768676
"212",0.538832243083362
"213",0.483860762706918
"214",0.367570024268214
"215",0.379053583249334
"216",0.740012867509373
"217",0.186574843613192
"218",0.10788265229578
"219",0.498178869507229
"220",0.170654643395199
"221",0.193534379918027
"222",0.358833357982937
"223",0.754556027554634
"224",0.462690717045045
"225",0.421351460752657
"226",0.305462969226313
"227",0.348234900784778
"228",0.446975471309095
"229",0.311456562280455
"230",0.122007182882561
"231",0.486671287715196
"232",0.413063679001716
"233",0.183127648055831
"234",0.276226273210191
"235",0.15335830878723
"236",0.35108986952434
"237",0.470319122095332
"238",0.131296122257262
"239",0.142586726961276
"240",0.326351989706496
"241",0.160832922045161
"242",0.493925126983545
"243",0.797150296326606
"244",0.307804857319618
"245",0.760082211922377
"246",0.132142341931655
"247",0.209760870051535
"248",0.72878472035257
"249",0.31284786165982
"250",0.112323116740468
"251",0.364684743016377
"252",0.417826780548038
"253",0.412739162940879
"254",0.0999724465436922
"255",0.154211932882524
"256",0.42412347863154
"257",0.115185150649829
"258",0.360913523557094
"259",0.642813870483723
"260",0.459294345763714
"261",0.371124485665758
"262",0.100702908014444
"263",0.374040518318277
"264",0.128533751286167
"265",0.104878500200247
"266",0.196551136957988
"267",0.34360364597831
"268",0.202693581569956
"269",0.153492930630786
"270",0.117875372253038
"271",0.476196363718338
"272",0.204383281917078
"273",0.753075116554165
"274",0.297358027129684
"275",0.515863285477066
"276",0.385242918935909
"277",0.3608029269553
"278",0.200485732383948
"279",0.48153275171364
"280",0.134813620332706
"281",0.49479346514929
"282",0.764340852650172
"283",0.143744947074267
"284",0.517413599941379
"285",0.449589016732972
"286",0.348678866370268
"287",0.671620558099741
"288",0.488799675915486
"289",0.185153440425857
"290",0.13996164891717
"291",0.201639705667034
"292",0.164701989837272
"293",0.122142105863166
"294",0.466889403187869
"295",0.279401721279597
"296",0.475583524017116
"297",0.10161837453866
"298",0.471324878654997
"299",0.414460814807109
"300",0.832297939399889
"301",0.471941642194696
"302",0.448712744830515
"303",0.66835569795881
"304",0.104884914146344
"305",0.173072364576752
"306",0.476547648596316
"307",0.424112891388528
"308",0.35782848572041
"309",0.522254500623973
"310",0.245191365965298
"311",0.792901203592367
"312",0.18693627777195
"313",0.164788363346491
"314",0.463287491717422
"315",0.140856797553337
"316",0.439457632668791
"317",0.517380363378779
"318",0.10901164854066
"319",0.490749837754168
"320",0.346564383519339
"321",0.195132704558753
"322",0.445248829310767
"323",0.426106896633705
"324",0.304007245077017
"325",0.477566642292911
"326",0.115521444248379
"327",0.237917672953445
"328",0.100404788076871
"329",0.187628050425707
"330",0.390804585055437
"331",0.164574837956359
"332",0.216510934657
"333",0.379444264917113
"334",0.414411922486583
"335",0.23943631157993
"336",0.314323954879546
"337",0.129066884481614
"338",0.475482713307273
"339",0.286275618009219
"340",0.233301985422241
"341",0.376672711639643
"342",0.36314101848998
"343",0.37235410378762
"344",0.484126874085627
"345",0.332262527324743
"346",0.490042574059433
"347",0.48563907647688
"348",0.369180156432838
"349",0.552094901126656
"350",0.763522225565644
"351",0.102898776037057
"352",0.500130463392893
"353",0.393524128399007
"354",0.222250010861652
"355",0.21898432905042
"356",0.46793899570043
"357",0.526614909030467
"358",0.715351651768842
"359",0.365591241081953
"360",0.332115112848685
"361",0.501081896908848
"362",0.408647374903231
"363",0.504181642945693
"364",0.347129672359218
"365",0.445441253415571
"366",0.768383142131016
"367",0.718132762202599
"368",0.30485800856121
"369",0.4262899972612
"370",0.274449630608328
"371",0.226314550669441
"372",0.22643183465723
"373",0.368349807434444
"374",0.342611600465452
"375",0.108568275968732
"376",0.526214030903732
"377",0.175695761917793
"378",0.379146887109807
"379",0.228944619639605
"380",0.384136049832251
"381",0.767535064062432
"382",0.101728927257792
"383",0.23276818267683
"384",0.243970113525184
"385",0.354326310853683
"386",0.429604064364432
"387",0.134267107813201
"388",0.241973558876626
"389",0.319254387933614
"390",0.498744808143403
"391",0.344603561812742
"392",0.229035720665828
"393",0.41421132654372
"394",0.450102323672995
"395",0.13262166880105
"396",0.132670572994858
"397",0.367214512538986
"398",0.145935783156193
"399",0.194785924420342
"400",0.436691792414504
"401",0.123496243866098
"402",0.1836871206381
"403",0.35394531486615
"404",0.333587933713612
"405",0.148334039035257
"406",0.137905237017279
"407",0.369717578120016
"408",0.508468705111656
"409",0.818965973987657
"410",0.227426354435145
"411",0.36847095438637
"412",0.220226997572589
"413",0.361940568960004
"414",0.359400153688554
"415",0.192479184147357
"416",0.317071972042168
"417",0.29329653425498
"418",0.802957129297456
"419",0.508623481064128
"420",0.292922744458207
"421",0.290473231026153
"422",0.157044918326895
"423",0.396253554770854
"424",0.468888438547271
"425",0.60179239757414
"426",0.470761253154341
"427",0.52440653448065
"428",0.367198229772933
"429",0.45715996576343
"430",0.439455747009179
"431",0.304167129155128
"432",0.315813435767711
"433",0.527633203460662
"434",0.371557864701057
"435",0.217860312980765
"436",0.801941606048936
"437",0.298460461908623
"438",0.783898039959847
"439",0.815952244348872
"440",0.4839677951844
"441",0.690032686783789
"442",0.145733127957668
"443",0.110927030364155
"444",0.415377460965477
"445",0.459286446490426
"446",0.146242997102608
"447",0.178432726340719
"448",0.1979990685328
"449",0.100577621851636
"450",0.193997468315639
"451",0.409934402012288
"452",0.440822772308672
"453",0.278337366578336
