power_id,sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,379,0.055,40,38,1520,0.1180960494367872,0.103,821
0,0,565,0.055,40,38,1520,0.0093600056700612,0.001,1007
0,0,14,0.055,40,38,1520,0.0011681088690788,0.001,456
0,0,746,0.055,40,38,1520,3.5755229850818955e-06,0.0,1188
0,0,197,0.055,40,38,1520,0.1909858566147029,0.171,639
0,0,930,0.055,40,38,1520,0.0012029397733043,0.0,1372
0,0,380,0.055,40,38,1520,0.0004930047672705,0.0,822
0,0,198,0.055,40,38,1520,0.0088785156722393,0.0,640
0,0,566,0.055,40,38,1520,0.4376795633975531,0.251,1008
0,0,15,0.055,40,38,1520,0.1108374773811339,0.007,457
0,0,747,0.055,40,38,1520,0.0379613685937293,0.019,1189
0,0,567,0.055,40,38,1520,0.0419628579152804,0.002,1009
0,0,199,0.055,40,38,1520,0.0009217275026754,0.0,641
0,0,16,0.055,40,38,1520,8.918521668476421e-05,0.0,458
0,0,931,0.055,40,38,1520,0.0762826585826456,0.005,1373
0,0,748,0.055,40,38,1520,0.0032244370597001,0.0,1190
0,0,381,0.055,40,38,1520,0.0661804020662792,0.021,823
0,0,17,0.055,40,38,1520,0.0473942218650076,0.221,459
0,0,568,0.055,40,38,1520,0.0098061454131732,0.001,1010
0,0,932,0.055,40,38,1520,0.0069909136425671,0.003,1374
0,0,18,0.055,40,38,1520,0.0438192281662081,0.018,460
0,0,382,0.055,40,38,1520,0.2288458895395489,0.29,824
0,0,749,0.055,40,38,1520,6.369556994568276e-05,0.0,1191
0,0,200,0.055,40,38,1520,0.2367571719778118,0.123,642
0,0,383,0.055,40,38,1520,0.0304963406918382,0.03,825
0,0,933,0.055,40,38,1520,0.0005042718512895,0.001,1375
0,0,569,0.055,40,38,1520,0.0098330927921572,0.001,1011
0,0,750,0.055,40,38,1520,0.0227855763694504,0.0,1192
0,0,19,0.055,40,38,1520,0.0901034543813663,0.103,461
0,0,201,0.055,40,38,1520,0.1120838286573382,0.072,643
0,0,384,0.055,40,38,1520,0.0204207304560796,0.007,826
0,0,570,0.055,40,38,1520,0.0172653676583955,0.018,1012
0,0,385,0.055,40,38,1520,0.0538320968086118,0.023,827
0,0,751,0.055,40,38,1520,0.0395994611255218,0.034,1193
0,0,202,0.055,40,38,1520,0.0005538951213449,0.0,644
0,0,571,0.055,40,38,1520,0.1924332979276098,0.092,1013
0,0,20,0.055,40,38,1520,0.0537502539515258,0.015,462
0,0,203,0.055,40,38,1520,0.0129997901261227,0.002,645
0,0,934,0.055,40,38,1520,0.0045429475081736,0.004,1376
0,0,752,0.055,40,38,1520,0.0004169820783566,0.0,1194
0,0,386,0.055,40,38,1520,0.0989730572855827,0.012,828
0,0,572,0.055,40,38,1520,0.0538244648628028,0.004,1014
0,0,21,0.055,40,38,1520,0.0080905735214343,0.001,463
0,0,387,0.055,40,38,1520,0.0043484527745447,0.002,829
0,0,935,0.055,40,38,1520,0.0124246282474339,0.009,1377
0,0,204,0.055,40,38,1520,0.1118166868850732,0.057,646
0,0,753,0.055,40,38,1520,0.0001024887802458,0.0,1195
0,0,22,0.055,40,38,1520,0.1782429143934074,0.096,464
0,0,573,0.055,40,38,1520,0.0138607361794642,0.007,1015
0,0,23,0.055,40,38,1520,3.480979551294158e-06,0.0,465
0,0,388,0.055,40,38,1520,0.0003886815159671,0.0,830
0,0,936,0.055,40,38,1520,0.555022101556674,0.335,1378
0,0,754,0.055,40,38,1520,0.0004961881170882,0.0,1196
0,0,205,0.055,40,38,1520,0.0725892086278488,0.012,647
0,0,24,0.055,40,38,1520,0.0795326627301954,0.028,466
0,0,574,0.055,40,38,1520,0.4802463667446748,0.244,1016
0,0,937,0.055,40,38,1520,0.0145769617359928,0.001,1379
0,0,206,0.055,40,38,1520,0.494768082249694,0.403,648
0,0,755,0.055,40,38,1520,0.2683487032205542,0.103,1197
0,0,389,0.055,40,38,1520,0.1421782447966799,0.074,831
0,0,25,0.055,40,38,1520,0.0320540836726139,0.011,467
0,0,575,0.055,40,38,1520,0.0257711051186001,0.001,1017
0,0,756,0.055,40,38,1520,0.127999060544647,0.065,1198
0,0,390,0.055,40,38,1520,0.2689299913001052,0.169,832
0,0,938,0.055,40,38,1520,0.010076720089248,0.0,1380
0,0,207,0.055,40,38,1520,0.0001582873649559,0.0,649
0,0,757,0.055,40,38,1520,0.0366479331647258,0.082,1199
0,0,26,0.055,40,38,1520,0.0896901586431502,0.048,468
0,0,576,0.055,40,38,1520,0.2405610499785345,0.243,1018
0,0,391,0.055,40,38,1520,0.0545564476815896,0.028,833
0,0,939,0.055,40,38,1520,0.0107118569823204,0.0,1381
0,0,27,0.055,40,38,1520,8.448753422352035e-05,0.0,469
0,0,208,0.055,40,38,1520,0.0001440731734698,0.0,650
0,0,392,0.055,40,38,1520,0.140295035189519,0.103,834
0,0,28,0.055,40,38,1520,0.3234752942202586,0.204,470
0,0,577,0.055,40,38,1520,0.0890199548945528,0.009,1019
0,0,758,0.055,40,38,1520,0.0993669291533532,0.024,1200
0,0,209,0.055,40,38,1520,0.1150779377659571,0.032,651
0,0,578,0.055,40,38,1520,0.157469983816756,0.083,1020
0,0,393,0.055,40,38,1520,0.2780112349654325,0.142,835
0,0,210,0.055,40,38,1520,0.0415113166378592,0.039,652
0,0,940,0.055,40,38,1520,0.0256383050658254,0.005,1382
0,0,759,0.055,40,38,1520,0.3263817097406095,0.132,1201
0,0,29,0.055,40,38,1520,0.0284691618547609,0.035,471
0,0,579,0.055,40,38,1520,0.1672298582190445,0.031,1021
0,0,760,0.055,40,38,1520,0.0732988349638715,0.069,1202
0,0,211,0.055,40,38,1520,0.0339776649135903,0.004,653
