sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval
400,0,0.055,16,84,1300,0.0060910771309984,0.07061011904761894
567,0,0.055,30,44,1300,0.1126042938558665,0.221590909090909
67,0,0.055,21,62,1300,0.0007322974875095,0.011981566820276431
234,0,0.055,16,86,1300,2.6519365500901583e-05,0.0028343023255813504
734,0,0.055,20,67,1300,0.032558631650627,0.11156716417910441
900,0,0.055,57,23,1300,0.0170173086511247,0.09916094584286798
401,0,0.055,57,23,1300,0.1573282396918207,0.2429443173150266
568,0,0.055,17,77,1300,2.029646894322093e-05,0.0029793735676087495
68,0,0.055,49,27,1300,2.786521331498804e-09,0.0
235,0,0.055,14,98,1300,0.1434587948388324,0.2520408163265305
735,0,0.055,15,87,1300,0.0117028864758593,0.05279693486590029
901,0,0.055,87,15,1300,0.0002473880506457,0.0039846743295018396
402,0,0.055,93,14,1300,0.1825836746996484,0.2745775729646696
569,0,0.055,24,56,1300,0.1247820828903066,0.21860119047619045
69,0,0.055,82,16,1300,0.4673637904412149,0.4627286585365854
236,0,0.055,26,51,1300,0.0001652358656478,0.01176470588235293
736,0,0.055,34,39,1300,0.0134534420543523,0.058823529411764656
902,0,0.055,30,44,1300,0.3067402684653035,0.3240151515151514
403,0,0.055,23,58,1300,0.0011160933981442,0.023388305847076428
570,0,0.055,16,82,1300,0.0276574961613041,0.1416920731707316
70,0,0.055,18,75,1300,0.1697063798401243,0.2041481481481481
237,0,0.055,17,77,1300,0.0116463305150858,0.07448433919022147
903,0,0.055,14,96,1300,0.0450547757245153,0.1673363095238094
737,0,0.055,73,18,1300,0.0021499870336184,0.037595129375951296
404,0,0.055,35,38,1300,0.0004524078513901,0.00684210526315784
571,0,0.055,22,60,1300,0.0094237928984271,0.05318181818181817
71,0,0.055,36,37,1300,0.2820234515895921,0.39136636636636635
238,0,0.055,36,37,1300,0.1985332329787951,0.24496996996996992
904,0,0.055,17,78,1300,0.0362445588667103,0.13235294117647056
738,0,0.055,49,27,1300,0.0177183131017968,0.10317460317460309
405,0,0.055,25,54,1300,0.0956801208992957,0.25807407407407407
572,0,0.055,109,12,1300,0.0718074776369494,0.12025993883792044
72,0,0.055,62,21,1300,0.0184459516175898,0.07288786482334864
239,0,0.055,82,16,1300,0.101792388086438,0.19717987804878037
905,0,0.055,37,36,1300,0.1042939534125891,0.15225225225225222
406,0,0.055,16,84,1300,0.0057722064148734,0.053199404761904705
739,0,0.055,21,64,1300,0.0014329398739873,0.03578869047619047
573,0,0.055,21,62,1300,0.106835544228877,0.2116743471582181
73,0,0.055,23,59,1300,0.1037385047380764,0.1417833456153279
240,0,0.055,16,82,1300,0.0132160501139835,0.08224085365853656
407,0,0.055,14,94,1300,0.2158828933389519,0.3477203647416413
906,0,0.055,25,54,1300,0.1889004871522311,0.2638518518518518
740,0,0.055,38,35,1300,0.1053112813778498,0.20330827067669172
574,0,0.055,16,83,1300,0.01448659624127,0.08614457831325295
74,0,0.055,15,88,1300,0.0233393250957788,0.11030303030303024
241,0,0.055,19,71,1300,4.328870228167828e-06,0.0048183839881392795
408,0,0.055,35,38,1300,0.0091753233335727,0.06157894736842095
907,0,0.055,26,50,1300,0.0095907232536796,0.107
575,0,0.055,26,50,1300,0.0056952924139922,0.039
741,0,0.055,33,40,1300,0.1355534162762621,0.1693939393939394
75,0,0.055,16,85,1300,0.0860769296782417,0.26573529411764696
242,0,0.055,20,65,1300,0.0762679066660478,0.218
409,0,0.055,16,84,1300,0.0028208200555516,0.02224702380952376
908,0,0.055,32,41,1300,0.0630389624144674,0.14268292682926828
576,0,0.055,18,76,1300,0.0343910157837356,0.18340643274853796
742,0,0.055,47,28,1300,0.0539439260944801,0.10273556231003039
76,0,0.055,23,58,1300,1.997461223128125e-05,0.00584707646176901
243,0,0.055,18,75,1300,0.0276001102488492,0.09051851851851847
410,0,0.055,20,65,1300,0.0001960260314525,0.02099999999999993
909,0,0.055,21,63,1300,0.0061223023441519,0.03635676492819345
577,0,0.055,19,70,1300,0.0303128650077793,0.079172932330827
743,0,0.055,34,39,1300,0.0145613723966653,0.04705882352941172
77,0,0.055,44,30,1300,0.428243724867076,0.46189393939393936
244,0,0.055,15,87,1300,0.0298150302624799,0.13049808429118773
411,0,0.055,17,78,1300,0.0017299884760314,0.02647058823529406
910,0,0.055,15,90,1300,1.425396606107258e-05,0.0019259259259258202
578,0,0.055,16,85,1300,0.0986866618183544,0.24852941176470578
744,0,0.055,14,95,1300,0.0003446417110087,0.01172932330827062
78,0,0.055,34,39,1300,0.0001360598186521,0.0058823529411764
245,0,0.055,39,34,1300,0.0051127785180419,0.06862745098039207
412,0,0.055,14,97,1300,0.7451006443023964,0.5456553755522827
911,0,0.055,130,10,1300,0.1508690907918014,0.2769999999999999
579,0,0.055,26,50,1300,0.0183171210041133,0.08999999999999997
745,0,0.055,17,80,1300,0.0908376429242527,0.16727941176470576
79,0,0.055,36,37,1300,0.2305237103679331,0.35330330330330323
246,0,0.055,20,68,1300,0.0522148388104689,0.10705882352941165
413,0,0.055,16,84,1300,0.1356915416583755,0.21860119047619045
912,0,0.055,28,48,1300,0.0019540960281792,0.02805059523809517
580,0,0.055,18,74,1300,0.0046726581788059,0.03415915915915906
746,0,0.055,21,64,1300,0.0657362158396947,0.11607142857142846
80,0,0.055,24,56,1300,0.0071859852195367,0.061904761904761886
414,0,0.055,18,73,1300,0.0222425081580217,0.04847792998477924
247,0,0.055,21,62,1300,7.527441952017133e-05,0.00199692780337934
913,0,0.055,17,80,1300,0.0072791475611557,0.08985294117647055
581,0,0.055,21,63,1300,0.0740533398302192,0.2201058201058201
747,0,0.055,33,40,1300,0.4506427419459108,0.4402272727272727
81,0,0.055,47,28,1300,0.0052520116940994,0.05630699088145885
415,0,0.055,28,48,1300,0.0232730633079481,0.1344494047619047
248,0,0.055,15,88,1300,0.5106949644666692,0.489469696969697
